Assignments,URL,ContentId,Author,MSTgtPltfrm,New Name Slug,_______,________,_____,Redirect to:,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-linux-setup-tomcat7-linux/,virtual-machines-linux-setup-tomcat7-linux,ningk,vm-linux,asm_setup_tomcat,,,__,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-linux-update-agent/,virtual-machines-linux-update-agent,mingzhan,vm-linux,update_agent,,,__,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-manage-availability/,virtual-machines-manage-availability,kenazk,na,manage_availability,__,__,__,Windows,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-manage-vms-powershell/,virtual-machines-manage-vms-powershell,kasing,vm-windows,asm_manage_psh,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-ruby-rails-web-app-linux/,virtual-machines-ruby-rails-web-app-linux,robmcm,vm-linux,asm_ruby_rails_web_app,,,__,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sap-getting-started/ ,virtual-machines-sap-getting-started,sedusch,vm-multiple,asm_sap_get_started,__,__,__,Windows,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-application-patterns-and-development-strategies/,virtual-machines-sql-server-application-patterns-and-development-strategies,selcint,vm-windows-sql-server,sql_server_app_patterns_dev_strategies,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-provision-resource-manager/,virtual-machines-sql-server-provision-resource-manager,mikeray,vm-windows-sql-server,arm_portal_sql_server_provision,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-use-premium-storage/,virtual-machines-sql-server-use-premium-storage,jroth,vm-windows-sql-server,asm_sql_server_premium_storage,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-sql-server-use-reportviewer-in-a-web-site/,virtual-machines-sql-server-use-reportviewer-in-a-web-site,jroth,vm-windows-sql-server,asm_sql_server_reportviewer,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-windows-hpcpack-cluster-rdma/,virtual-machines-windows-hpcpack-cluster-rdma,danlep,vm-windows,asm_hpcpack_rdma_cluster,,__,,,
danlep,https://azure.microsoft.com/en-us/documentation/articles/xplat-cli-azure-manage-vm-asm-arm/,xplat-cli-azure-manage-vm-asm-arm,danlep,command-line-interface,cli_manage,__,__,__,Linux,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/arm-template-deployment/,arm-template-deployment,davidmu,vm-windows,arm_csharp_template,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/automation-manage-virtual-machines/,automation-manage-virtual-machines,jolevy,na,manage_using_azure_automation,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-arm-deployment/,virtual-machines-arm-deployment,davidmu,vm-windows,arm_csharp,,__,,,
davidmu,https://azure.microsoft.com/en-us/documentation/articles/virtual-machines-automation-with-chef/,virtual-machines-automation-with-chef,diviso,vm-multiple,chef_automation,,__,,,
